40.2	11.2
40	10.6
39.8	10
39.6	9.4
39.4	8.8
39.2	8.2
39	7.6
38.8	7
38.6	6.4
38.4	5.8
38.2	5.2
38	4.6
37.8	4
37.6	3.4
37.4	2.8
37.2	2.2
37	1.6
36.8	1
36.6	0.4
36.4	0
36.2	0.6
36	1.2
35.8	1.8
35.6	2.4
35.4	3
35.2	3.6
35	4.2
34.8	4.8
34.6	5.4
34.4	6
34.2	6.6
34	7.2
33.8	7.8
33.6	8.4
33.4	9
33.2	9.6
33	10.2
32.8	10.8
32.6	11.4
32.4	12
32.2	12.6
32	13.2
31.8	13.8
31.6	14.4
31.4	15
31.2	15.6
31	16.2
30.8	16.8
30.6	17.4
30.4	18
30.2	18.6
30	19.2
29.8	19.8
29.6	20.4
29.4	21
29.2	21.6
29	22.2
28.8	22.8
28.6	23.4
28.4	24
28.2	24.6
28	25.2
27.8	25.8
27.6	26.4
27.4	27
27.2	27.6
27	28.2
26.8	28.8
26.6	29.4
26.4	30
26.2	30.6
26	31.2
25.8	31.8
25.6	32.4
25.4	33
25.2	33.6
25	34.2
24.8	34.8
24.6	35.4
24.4	36
24.2	36.6
24	37.2
23.8	37.8
23.6	38.4
23.4	39
23.2	39.6
23	40.2
22.8	40.8
22.6	41.4
22.4	42
22.2	42.6
22	43.2
21.8	43.8
21.6	44.4
21.4	45
21.2	45.6
21	46.2
20.8	46.8
20.6	47.4
20.4	48
20.2	48.6
20	49.2
19.8	49.8
19.6	50.4
19.4	51
19.2	51.6
19	52.2
18.8	52.8
18.6	53.4
18.4	54
18.2	54.6
18	55.2
17.8	55.8
17.6	56.4
17.4	57
17.2	57.6
17	58.2
16.8	58.8
16.6	59.4
16.4	60
16.2	60.6
16	61.2
15.8	61.8
15.6	62.4
15.4	63
15.2	63.6
15	64.2
14.8	64.8
14.6	65.4
14.4	66
14.2	66.6
14	67.2
13.8	67.8
13.6	68.4
13.4	69
13.2	69.6
13	70.2
12.8	70.8
12.6	71.4
12.4	72
12.2	72.6
12	73.2
11.8	73.8
11.6	74.4
11.4	75
11.2	75.6
11	76.2
10.8	76.8
10.6	77.4
10.4	78
10.2	78.6
10	79.2
9.8	79.8
9.6	80.4
9.4	81
9.2	81.6
9	82.2
8.8	82.8
8.6	83.4
8.4	84
8.2	84.6
8	85.2
7.8	85.8
7.6	86.4
7.4	87
7.2	87.6
7	88.2
6.8	88.8
6.6	89.4
6.4	90
6.2	90.6
6	91.2
5.8	91.8
5.6	92.4
5.4	93
5.2	93.6
5	94.2
4.8	94.8
4.6	95.4
4.4	96
4.2	96.6
4	97.2
3.8	97.8
3.6	98.4
3.4	99
3.2	99.6
3	100
2.8	99.4
2.6	98.8
2.4	98.2
2.2	97.6
2	97
1.8	96.4
1.6	95.8
1.4	95.2
1.2	94.6
1	94
0.8	93.4
0.6	92.8
0.4	92.2
0.2	91.6
0	91
0.2	90.4
0.4	89.8
0.6	89.2
0.8	88.6
1	88
1.2	87.4
1.4	86.8
1.6	86.2
1.8	85.6
2	85
2.2	84.4
2.4	83.8
2.6	83.2
2.8	82.6
3	82
3.2	81.4
3.4	80.8
3.6	80.2
3.8	79.6
4	79
4.2	78.4
4.4	77.8
4.6	77.2
4.8	76.6
5	76
5.2	75.4
5.4	74.8
5.6	74.2
5.8	73.6
6	73
6.2	72.4
6.4	71.8
6.6	71.2
6.8	70.6
7	70
7.2	69.4
7.4	68.8
7.6	68.2
7.8	67.6
8	67
8.2	66.4
8.4	65.8
8.6	65.2
8.8	64.6
9	64
9.2	63.4
9.4	62.8
9.6	62.2
9.8	61.6
10	61
10.2	60.4
10.4	59.8
10.6	59.2
10.8	58.6
11	58
11.2	57.4
11.4	56.8
11.6	56.2
11.8	55.6
12	55
12.2	54.4
12.4	53.8
12.6	53.2
12.8	52.6
13	52
13.2	51.4
13.4	50.8
13.6	50.2
13.8	49.6
14	49
14.2	48.4
14.4	47.8
14.6	47.2
14.8	46.6
15	46
15.2	45.4
15.4	44.8
15.6	44.2
15.8	43.6
16	43
16.2	42.4
16.4	41.8
16.6	41.2
16.8	40.6
17	40
17.2	39.4
17.4	38.8
17.6	38.2
17.8	37.6
18	37
18.2	36.4
18.4	35.8
18.6	35.2
18.8	34.6
19	34
19.2	33.4
19.4	32.8
19.6	32.2
19.8	31.6
20	31
20.2	30.4
20.4	29.8
20.6	29.2
20.8	28.6
21	28
21.2	27.4
21.4	26.8
21.6	26.2
21.8	25.6
22	25
22.2	24.4
22.4	23.8
22.6	23.2
22.8	22.6
23	22
23.2	21.4
23.4	20.8
23.6	20.2
23.8	19.6
24	19
24.2	18.4
24.4	17.8
24.6	17.2
24.8	16.6
25	16
25.2	15.4
25.4	14.8
25.6	14.2
25.8	13.6
26	13
26.2	12.4
26.4	11.8
26.6	11.2
26.8	10.6
27	10
27.2	9.4
27.4	8.8
27.6	8.2
27.8	7.6
28	7
28.2	6.4
28.4	5.8
28.6	5.2
28.8	4.6
29	4
29.2	3.4
29.4	2.8
29.6	2.2
29.8	1.6
30	1
30.2	0.4
30.4	0
30.6	0.6
30.8	1.2
31	1.8
31.2	2.4
31.4	3
31.6	3.6
31.8	4.2
32	4.8
32.2	5.4
32.4	6
32.6	6.6
32.8	7.2
33	7.8
33.2	8.4
33.4	9
33.6	9.6
